cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 5, 0, 1, 0, 0.1, 0, 0
2, 12, 9, 2, 0, 0.1, 9, 4.5
3, 12, 0, 1, 0, 0.1, 9, 3
4, 12, 0, 0, 0, 0.1, 9, 2.25
5, 10, 9, 1, 0, 0.1, 18, 3.6
6, 10, 0, 1, 0, 0.1, 18, 3
7, 10, 0, 1, 0, 0.1, 18, 2.57143
8, 10, 0, 3, 1, 0.1, 18, 2.25
9, 10, 0, 2, 1, 0.1, 18, 2
10, 12, 9, 3, 0, 0.1, 27, 2.7
11, 5, 9, 3, 0, 0.1, 36, 3.27273
12, 7, 9, 0, 0, 0.1, 45, 3.75
13, 7, 0, 3, 0, 0.1, 45, 3.46154
14, 7, 0, 2, 0, 0.1, 45, 3.21429
15, 7, 0, 0, 0, 0.1, 45, 3
16, 7, 0, 0, 0, 0.1, 45, 2.8125
17, 7, 0, 2, 0, 0.1, 45, 2.64706
18, 7, 0, 3, 0, 0.1, 45, 2.5
19, 7, 0, 0, 0, 0.1, 45, 2.36842
20, 7, 0, 2, 0, 0.1, 45, 2.25
21, 7, 0, 1, 1, 0.1, 45, 2.14286
22, 5, 9, 2, 1, 0.1, 54, 2.45455
23, 5, 0, 3, 0, 0.1, 54, 2.34783
24, 7, 9, 2, 0, 0.1, 63, 2.625
25, 7, 0, 1, 0, 0.1, 63, 2.52
26, 5, 9, 3, 0, 0.1, 72, 2.76923
27, 7, 9, 1, 0, 0.1, 81, 3
28, 5, 9, 3, 0, 0.1, 90, 3.21429
29, 7, 9, 0, 0, 0.1, 99, 3.41379
30, 7, 0, 0, 0, 0.1, 99, 3.3
31, 7, 0, 2, 0, 0.1, 99, 3.19355
32, 7, 0, 0, 0, 0.1, 99, 3.09375
33, 7, 0, 3, 0, 0.1, 99, 3
34, 7, 0, 3, 0, 0.1, 99, 2.91176
35, 7, 0, 2, 0, 0.1, 99, 2.82857
36, 7, 0, 2, 0, 0.1, 99, 2.75
37, 7, 0, 1, 1, 0.1, 99, 2.67568
38, 5, 9, 0, 0, 0.1, 108, 2.84211
39, 5, 0, 3, 1, 0.1, 108, 2.76923
40, 7, 9, 1, 0, 0.1, 117, 2.925
41, 5, 9, 2, 0, 0.1, 126, 3.07317
42, 5, 0, 3, 1, 0.1, 126, 3
43, 7, 9, 1, 0, 0.1, 135, 3.13953
44, 5, 9, 1, 0, 0.1, 144, 3.27273
45, 12, 9, 1, 0, 0.1, 153, 3.4
46, 12, 0, 0, 0, 0.1, 153, 3.32609
47, 10, 9, 3, 0, 0.1, 162, 3.44681
48, 10, 0, 2, 0, 0.1, 162, 3.375
49, 12, 9, 3, 0, 0.1, 171, 3.4898
50, 5, 9, 0, 0, 0.1, 180, 3.6
51, 5, 0, 2, 0, 0.1, 180, 3.52941
52, 5, 0, 2, 1, 0.1, 180, 3.46154
53, 5, 0, 1, 0, 0.1, 180, 3.39623
54, 12, 9, 2, 1, 0.1, 189, 3.5
55, 12, 0, 1, 0, 0.1, 189, 3.43636
56, 12, 0, 0, 1, 0.1, 189, 3.375
57, 10, 9, 2, 0, 0.1, 198, 3.47368
58, 12, 9, 2, 0, 0.1, 207, 3.56897
59, 12, 0, 1, 0, 0.1, 207, 3.50847
60, 12, 0, 3, 0, 0.1, 207, 3.45
61, 5, 9, 0, 0, 0.1, 216, 3.54098
62, 5, 0, 1, 1, 0.1, 216, 3.48387
63, 12, 9, 2, 0, 0.1, 225, 3.57143
64, 12, 0, 0, 0, 0.1, 225, 3.51562
65, 10, 9, 3, 0, 0.1, 234, 3.6
66, 10, 0, 3, 1, 0.1, 234, 3.54545
67, 10, 0, 3, 0, 0.1, 234, 3.49254
68, 10, 0, 1, 0, 0.1, 234, 3.44118
69, 10, 0, 3, 0, 0.1, 234, 3.3913
70, 10, 0, 1, 0, 0.1, 234, 3.34286
71, 10, 0, 1, 0, 0.1, 234, 3.29577
72, 10, 0, 1, 0, 0.1, 234, 3.25
