cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32645, 0, 3, 0, 0.1, 0, 0
2, 29962, 1011, 1, 0, 0.1, 1011, 505.5
3, 29962, 1011, 2, 0, 0.1, 2022, 674
4, 30472, 991, 0, 0, 0.1, 3013, 753.25
5, 29962, 1001, 2, 1, 0.1, 4014, 802.8
6, 30472, 1001, 3, 0, 0.1, 5015, 835.833
7, 30472, 1011, 2, 0, 0.1, 6026, 860.857
8, 29962, 991, 0, 0, 0.1, 7017, 877.125
9, 30472, 1001, 0, 1, 0.1, 8018, 890.889
10, 29962, 1001, 0, 0, 0.1, 9019, 901.9
11, 30472, 991, 0, 0, 0.1, 10010, 910
12, 29962, 991, 2, 0, 0.1, 11001, 916.75
13, 30472, 1001, 2, 0, 0.1, 12002, 923.231
