cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 1, 0, 2, 0, 0.1, 0, 0
2, 0, 0, 1, 1, 0.1, 0, 0
3, 0, 2, 2, 0, 0.1, 2, 0.666667
4, 1, 2, 2, 0, 0.1, 4, 1
5, 0, 0, 0, 0, 0.1, 4, 0.8
6, 0, 1, 2, 0, 0.1, 5, 0.833333
7, 0, 0, 2, 0, 0.1, 5, 0.714286
8, 0, 0, 1, 0, 0.1, 5, 0.625
9, 0, 2, 1, 0, 0.1, 7, 0.777778
10, 2, 0, 1, 0, 0.1, 7, 0.7
11, 0, 2, 2, 1, 0.1, 9, 0.818182
12, 0, 0, 1, 0, 0.1, 9, 0.75
13, 0, 2, 1, 0, 0.1, 11, 0.846154
14, 0, 2, 0, 0, 0.1, 13, 0.928571
15, 2, 2, 1, 0, 0.1, 15, 1
16, 0, 2, 0, 0, 0.1, 17, 1.0625
17, 0, 1, 2, 1, 0.1, 18, 1.05882
18, 2, 1, 2, 0, 0.1, 19, 1.05556
19, 2, 1, 2, 1, 0.1, 20, 1.05263
20, 0, 0, 1, 0, 0.1, 20, 1
21, 0, 2, 1, 0, 0.1, 22, 1.04762
22, 0, 2, 1, 0, 0.1, 24, 1.09091
23, 2, 0, 1, 0, 0.1, 24, 1.04348
24, 0, 2, 1, 0, 0.1, 26, 1.08333
25, 0, 2, 1, 0, 0.1, 28, 1.12
26, 2, 0, 1, 0, 0.1, 28, 1.07692
27, 0, 2, 1, 0, 0.1, 30, 1.11111
28, 1, 1, 1, 0, 0.1, 31, 1.10714
29, 2, 0, 2, 0, 0.1, 31, 1.06897
30, 1, 2, 1, 0, 0.1, 33, 1.1
31, 1, 1, 1, 0, 0.1, 34, 1.09677
32, 1, 1, 1, 0, 0.1, 35, 1.09375
33, 1, 1, 1, 0, 0.1, 36, 1.09091
34, 2, 0, 2, 0, 0.1, 36, 1.05882
35, 2, 1, 2, 0, 0.1, 37, 1.05714
36, 2, 1, 1, 0, 0.1, 38, 1.05556
37, 0, 2, 0, 0, 0.1, 40, 1.08108
38, 1, 0, 1, 0, 0.1, 40, 1.05263
39, 2, 0, 2, 0, 0.1, 40, 1.02564
40, 0, 0, 1, 0, 0.1, 40, 1
41, 0, 2, 0, 0, 0.1, 42, 1.02439
42, 0, 1, 1, 0, 0.1, 43, 1.02381
43, 2, 0, 1, 0, 0.1, 43, 1
44, 0, 2, 1, 0, 0.1, 45, 1.02273
45, 2, 0, 1, 0, 0.1, 45, 1
46, 0, 2, 1, 0, 0.1, 47, 1.02174
47, 2, 0, 1, 0, 0.1, 47, 1
48, 1, 1, 1, 0, 0.1, 48, 1
49, 1, 1, 1, 0, 0.1, 49, 1
50, 0, 2, 0, 0, 0.1, 51, 1.02
51, 2, 2, 2, 0, 0.1, 53, 1.03922
52, 2, 1, 1, 0, 0.1, 54, 1.03846
53, 0, 2, 2, 0, 0.1, 56, 1.0566
54, 0, 0, 1, 0, 0.1, 56, 1.03704
55, 0, 2, 0, 0, 0.1, 58, 1.05455
56, 0, 1, 1, 0, 0.1, 59, 1.05357
57, 2, 0, 1, 0, 0.1, 59, 1.03509
58, 2, 0, 1, 0, 0.1, 59, 1.01724
59, 2, 0, 2, 0, 0.1, 59, 1
60, 1, 2, 1, 0, 0.1, 61, 1.01667
61, 1, 1, 1, 0, 0.1, 62, 1.01639
62, 2, 0, 1, 0, 0.1, 62, 1
63, 0, 2, 1, 0, 0.1, 64, 1.01587
64, 0, 2, 2, 0, 0.1, 66, 1.03125
65, 1, 2, 2, 0, 0.1, 68, 1.04615
66, 2, 1, 1, 0, 0.1, 69, 1.04545
67, 2, 0, 1, 0, 0.1, 69, 1.02985
68, 0, 2, 0, 0, 0.1, 71, 1.04412
69, 2, 2, 2, 0, 0.1, 73, 1.05797
70, 0, 0, 1, 0, 0.1, 73, 1.04286
71, 0, 2, 2, 0, 0.1, 75, 1.05634
72, 1, 2, 0, 0, 0.1, 77, 1.06944
73, 1, 0, 1, 0, 0.1, 77, 1.05479
74, 2, 0, 1, 0, 0.1, 77, 1.04054
75, 1, 1, 1, 0, 0.1, 78, 1.04
76, 2, 0, 1, 0, 0.1, 78, 1.02632
77, 1, 1, 1, 0, 0.1, 79, 1.02597
78, 0, 2, 1, 0, 0.1, 81, 1.03846
79, 2, 0, 1, 0, 0.1, 81, 1.02532
80, 1, 1, 1, 0, 0.1, 82, 1.025
81, 2, 0, 2, 0, 0.1, 82, 1.01235
82, 0, 0, 1, 0, 0.1, 82, 1
83, 0, 2, 0, 0, 0.1, 84, 1.01205
84, 0, 1, 2, 0, 0.1, 85, 1.0119
85, 0, 0, 1, 0, 0.1, 85, 1
86, 0, 2, 0, 0, 0.1, 87, 1.01163
87, 0, 1, 1, 0, 0.1, 88, 1.01149
88, 0, 2, 1, 0, 0.1, 90, 1.02273
89, 0, 2, 1, 1, 0.1, 92, 1.03371
90, 1, 1, 0, 1, 0.1, 93, 1.03333
91, 0, 1, 0, 0, 0.1, 94, 1.03297
92, 1, 0, 1, 0, 0.1, 94, 1.02174
93, 2, 0, 1, 0, 0.1, 94, 1.01075
94, 1, 1, 1, 0, 0.1, 95, 1.01064
95, 1, 1, 1, 0, 0.1, 96, 1.01053
96, 0, 2, 0, 0, 0.1, 98, 1.02083
97, 0, 1, 2, 0, 0.1, 99, 1.02062
98, 0, 0, 1, 0, 0.1, 99, 1.0102
99, 0, 2, 0, 0, 0.1, 101, 1.0202
100, 1, 0, 0, 0, 0.1, 101, 1.01
101, 2, 2, 2, 0, 0.1, 103, 1.0198
102, 2, 1, 1, 0, 0.1, 104, 1.01961
103, 1, 1, 1, 0, 0.1, 105, 1.01942
104, 2, 0, 0, 1, 0.1, 105, 1.00962
105, 2, 2, 2, 1, 0.1, 107, 1.01905
106, 0, 0, 2, 0, 0.1, 107, 1.00943
107, 0, 0, 1, 0, 0.1, 107, 1
108, 0, 2, 1, 0, 0.1, 109, 1.00926
109, 2, 0, 1, 0, 0.1, 109, 1
110, 1, 1, 1, 0, 0.1, 110, 1
111, 0, 2, 1, 0, 0.1, 112, 1.00901
112, 0, 2, 0, 0, 0.1, 114, 1.01786
113, 2, 2, 1, 0, 0.1, 116, 1.02655
114, 0, 2, 1, 0, 0.1, 118, 1.03509
115, 2, 0, 0, 0, 0.1, 118, 1.02609
116, 0, 1, 1, 0, 0.1, 119, 1.02586
117, 0, 2, 0, 0, 0.1, 121, 1.03419
118, 1, 0, 1, 0, 0.1, 121, 1.02542
119, 2, 0, 2, 0, 0.1, 121, 1.01681
120, 2, 1, 2, 0, 0.1, 122, 1.01667
121, 1, 2, 2, 0, 0.1, 124, 1.02479
122, 1, 2, 0, 0, 0.1, 126, 1.03279
