cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 0, 1, 1, 0, 0, 1, 1
2, 0, 0, 1, 0, 0, 1, 0.5
3, 0, 0, 1, 0, 0, 1, 0.333333
4, 0, 0, 1, 0, 0, 1, 0.25
5, 0, 0, 1, 0, 0, 1, 0.2
6, 0, 0, 0, 0, 0, 1, 0.166667
7, 0, 1, 1, 0, 0, 2, 0.285714
8, 0, 0, 1, 0, 0, 2, 0.25
9, 0, 0, 1, 0, 0, 2, 0.222222
10, 0, 0, 0, 0, 0, 2, 0.2
11, 0, 1, 1, 0, 0, 3, 0.272727
12, 0, 0, 1, 0, 0, 3, 0.25
13, 0, 0, 1, 0, 0, 3, 0.230769
14, 0, 0, 1, 0, 0, 3, 0.214286
15, 0, 0, 0, 0, 0, 3, 0.2
16, 0, 1, 0, 0, 0, 4, 0.25
17, 0, 0, 1, 0, 0, 4, 0.235294
18, 0, 1, 1, 0, 0, 5, 0.277778
19, 0, 0, 1, 0, 0, 5, 0.263158
20, 0, 0, 1, 0, 0, 5, 0.25
21, 0, 0, 0, 0, 0, 5, 0.238095
22, 0, 1, 0, 0, 0, 6, 0.272727
23, 0, 0, 1, 0, 0, 6, 0.26087
24, 0, 1, 0, 0, 0, 7, 0.291667
25, 0, 0, 1, 0, 0, 7, 0.28
26, 0, 1, 0, 0, 0, 8, 0.307692
27, 0, 0, 1, 0, 0, 8, 0.296296
28, 0, 1, 0, 0, 0, 9, 0.321429
29, 0, 0, 1, 0, 0, 9, 0.310345
30, 0, 1, 0, 0, 0, 10, 0.333333
31, 0, 0, 1, 0, 0, 10, 0.322581
32, 0, 1, 0, 0, 0, 11, 0.34375
33, 0, 0, 1, 0, 0, 11, 0.333333
34, 0, 1, 0, 0, 0, 12, 0.352941
35, 0, 0, 1, 0, 0, 12, 0.342857
36, 0, 1, 0, 0, 0, 13, 0.361111
37, 0, 0, 1, 0, 0, 13, 0.351351
38, 0, 1, 0, 0, 0, 14, 0.368421
39, 0, 0, 1, 0, 0, 14, 0.358974
40, 0, 1, 0, 0, 0, 15, 0.375
41, 0, 0, 1, 0, 0, 15, 0.365854
42, 0, 1, 0, 0, 0, 16, 0.380952
43, 0, 0, 1, 0, 0, 16, 0.372093
44, 0, 1, 0, 0, 0, 17, 0.386364
45, 0, 0, 1, 0, 0, 17, 0.377778
46, 0, 1, 0, 0, 0, 18, 0.391304
47, 0, 0, 1, 0, 0, 18, 0.382979
48, 0, 1, 0, 0, 0, 19, 0.395833
49, 0, 0, 1, 0, 0, 19, 0.387755
50, 0, 1, 0, 0, 0, 20, 0.4
51, 0, 0, 1, 0, 0, 20, 0.392157
52, 0, 1, 0, 0, 0, 21, 0.403846
53, 0, 0, 1, 0, 0, 21, 0.396226
54, 0, 1, 0, 0, 0, 22, 0.407407
55, 0, 0, 1, 0, 0, 22, 0.4
56, 0, 1, 0, 0, 0, 23, 0.410714
57, 0, 0, 1, 0, 0, 23, 0.403509
58, 0, 1, 0, 0, 0, 24, 0.413793
59, 0, 0, 1, 0, 0, 24, 0.40678
60, 0, 1, 0, 0, 0, 25, 0.416667
61, 0, 0, 1, 0, 0, 25, 0.409836
62, 0, 1, 0, 0, 0, 26, 0.419355
63, 0, 0, 1, 0, 0, 26, 0.412698
64, 0, 1, 0, 0, 0, 27, 0.421875
65, 0, 0, 1, 0, 0, 27, 0.415385
66, 0, 1, 0, 0, 0, 28, 0.424242
67, 0, 0, 1, 0, 0, 28, 0.41791
68, 0, 1, 0, 0, 0, 29, 0.426471
69, 0, 0, 1, 0, 0, 29, 0.42029
70, 0, 1, 0, 0, 0, 30, 0.428571
71, 0, 0, 1, 0, 0, 30, 0.422535
72, 0, 1, 0, 0, 0, 31, 0.430556
73, 0, 0, 1, 0, 0, 31, 0.424658
74, 0, 1, 0, 0, 0, 32, 0.432432
75, 0, 0, 1, 0, 0, 32, 0.426667
76, 0, 1, 0, 0, 0, 33, 0.434211
77, 0, 0, 1, 0, 0, 33, 0.428571
78, 0, 1, 0, 0, 0, 34, 0.435897
79, 0, 0, 1, 0, 0, 34, 0.43038
80, 0, 1, 0, 0, 0, 35, 0.4375
81, 0, 0, 1, 0, 0, 35, 0.432099
