cycle, observation, reward, action, explored, explore_rate, total reward, average reward
1, 32712, 0, 1, 0, 0, 0, 0
2, 29962, 1011, 2, 0, 0, 1011, 505.5
3, 30472, 991, 1, 0, 0, 2002, 667.333
4, 29189, 991, 3, 0, 0, 2993, 748.25
5, 30472, 1001, 3, 0, 0, 3994, 798.8
6, 30472, 1011, 1, 0, 0, 5005, 834.167
7, 29189, 1001, 2, 0, 0, 6006, 858
8, 29189, 1011, 3, 0, 0, 7017, 877.125
9, 30472, 1001, 1, 0, 0, 8018, 890.889
10, 29189, 1001, 0, 0, 0, 9019, 901.9
11, 29189, 1011, 0, 0, 0, 10030, 911.818
12, 29189, 1011, 2, 0, 0, 11041, 920.083
13, 29189, 1011, 1, 0, 0, 12052, 927.077
14, 29954, 991, 1, 0, 0, 13043, 931.643
15, 29954, 1011, 0, 0, 0, 14054, 936.933
16, 29962, 991, 2, 0, 0, 15045, 940.312
17, 29954, 1001, 0, 0, 0, 16046, 943.882
18, 29962, 1001, 3, 0, 0, 17047, 947.056
19, 29962, 1011, 1, 0, 0, 18058, 950.421
20, 29962, 1011, 2, 0, 0, 19069, 953.45
21, 29954, 1001, 0, 0, 0, 20070, 955.714
22, 29962, 1001, 2, 0, 0, 21071, 957.773
23, 29954, 1001, 0, 0, 0, 22072, 959.652
24, 29962, 1001, 2, 0, 0, 23073, 961.375
25, 29954, 1001, 3, 0, 0, 24074, 962.96
26, 28677, 1001, 1, 0, 0, 25075, 964.423
27, 29954, 1001, 2, 0, 0, 26076, 965.778
28, 29962, 991, 2, 0, 0, 27067, 966.679
29, 30472, 991, 3, 0, 0, 28058, 967.517
30, 30472, 1011, 2, 0, 0, 29069, 968.967
31, 29962, 991, 3, 0, 0, 30060, 969.677
32, 29962, 1011, 2, 0, 0, 31071, 970.969
33, 31492, 991, 1, 0, 0, 32062, 971.576
34, 31237, 991, 1, 0, 0, 33053, 972.147
35, 31747, 991, 2, 0, 0, 34044, 972.686
36, 29706, 991, 0, 0, 0, 35035, 973.194
37, 31747, 1001, 0, 0, 0, 36036, 973.946
38, 31747, 1011, 0, 0, 0, 37047, 974.921
39, 31747, 1011, 2, 0, 0, 38058, 975.846
40, 29706, 1001, 3, 0, 0, 39059, 976.475
41, 29706, 1011, 1, 0, 0, 40070, 977.317
42, 29706, 1011, 1, 0, 0, 41081, 978.119
43, 29706, 1011, 3, 0, 0, 42092, 978.884
44, 29706, 1011, 0, 0, 0, 43103, 979.614
45, 31747, 1001, 3, 0, 0, 44104, 980.089
46, 30725, 1001, 3, 0, 0, 45105, 980.543
47, 30980, 1001, 1, 0, 0, 46106, 980.979
48, 30725, 1001, 3, 0, 0, 47107, 981.396
49, 30980, 1001, 0, 0, 0, 48108, 981.796
50, 28938, 1001, 2, 0, 0, 49109, 982.18
51, 30980, 1001, 0, 0, 0, 50110, 982.549
52, 28938, 1001, 2, 0, 0, 51111, 982.904
53, 30980, 1001, 3, 0, 0, 52112, 983.245
54, 30725, 991, 0, 0, 0, 53103, 983.389
55, 30725, 1011, 2, 0, 0, 54114, 983.891
56, 30725, 1011, 0, 0, 0, 55125, 984.375
57, 30725, 1011, 0, 0, 0, 56136, 984.842
58, 30725, 1011, 1, 0, 0, 57147, 985.293
59, 30980, 1001, 3, 0, 0, 58148, 985.559
60, 30725, 1001, 1, 0, 0, 59149, 985.817
61, 30980, 1001, 3, 0, 0, 60150, 986.066
62, 30725, 1001, 2, 0, 0, 61151, 986.306
63, 30725, 1011, 1, 0, 0, 62162, 986.698
64, 30980, 1001, 0, 0, 0, 63163, 986.922
65, 28938, 1001, 3, 0, 0, 64164, 987.138
66, 28938, 1011, 2, 0, 0, 65175, 987.5
67, 30980, 1001, 2, 0, 0, 66176, 987.701
68, 30980, 1011, 0, 0, 0, 67187, 988.044
69, 28938, 1001, 1, 0, 0, 68188, 988.232
70, 28938, 1011, 1, 0, 0, 69199, 988.557
71, 28938, 1011, 0, 0, 0, 70210, 988.873
72, 29448, 1001, 1, 0, 0, 71211, 989.042
73, 29189, 991, 1, 0, 0, 72202, 989.068
74, 28934, 991, 0, 0, 0, 73193, 989.095
75, 28938, 991, 2, 0, 0, 74184, 989.12
76, 28934, 1001, 3, 0, 0, 75185, 989.276
77, 24581, 1001, 2, 0, 0, 76186, 989.429
78, 24581, 1011, 1, 0, 0, 77197, 989.705
79, 28934, 1001, 3, 0, 0, 78198, 989.848
80, 24581, 1001, 1, 0, 0, 79199, 989.987
81, 28934, 1001, 0, 0, 0, 80200, 990.123
82, 28938, 1001, 0, 0, 0, 81201, 990.256
83, 29193, 991, 3, 0, 0, 82192, 990.265
84, 29193, 1011, 3, 0, 0, 83203, 990.512
85, 29193, 1011, 1, 0, 0, 84214, 990.753
86, 29189, 991, 3, 0, 0, 85205, 990.756
87, 29193, 1001, 1, 0, 0, 86206, 990.874
88, 29189, 1001, 2, 0, 0, 87207, 990.989
89, 29189, 1011, 2, 0, 0, 88218, 991.213
90, 29189, 1011, 2, 0, 0, 89229, 991.433
91, 29189, 1011, 1, 0, 0, 90240, 991.648
92, 29954, 991, 1, 0, 0, 91231, 991.641
93, 29954, 1011, 3, 0, 0, 92242, 991.849
94, 28677, 1001, 0, 0, 0, 93243, 991.947
95, 28677, 1011, 0, 0, 0, 94254, 992.147
96, 28677, 1011, 2, 0, 0, 95265, 992.344
97, 28677, 1011, 2, 0, 0, 96276, 992.536
98, 28677, 1011, 0, 0, 0, 97287, 992.724
99, 28677, 1011, 0, 0, 0, 98298, 992.909
100, 28677, 1011, 2, 0, 0, 99309, 993.09
101, 28677, 1011, 3, 0, 0, 100320, 993.267
102, 24585, 1001, 3, 0, 0, 101321, 993.343
103, 24585, 1011, 3, 0, 0, 102332, 993.515
104, 24585, 1011, 0, 0, 0, 103343, 993.683
105, 24585, 1011, 3, 0, 0, 104354, 993.848
106, 24585, 1011, 0, 0, 0, 105365, 994.009
107, 24585, 1011, 0, 0, 0, 106376, 994.168
108, 24585, 1011, 1, 0, 0, 107387, 994.324
